

هذا الجدول يوضح عدد التراخيص او التصاريح المصدرة حسب نوع الخدمة

| Count of Services  العدد | License Type  النوع ((تصريح او ترخيص | Service Name  (وصف الخدمة) |
| :-------------------: | :--------------------------: | :---------------------: |
| 63  | License | إستيراد نفايات غير خطرة |
| 56  | License | اجمع ونقل النفايات الخطرة – تجديد |
| 23  | License | إستيراد نفايات خطرة |
| 3  | License | التخلص النهائي من النفايات البلدية الصلبة |
| 1  | License | التخلص النهائي من النفايات البلدية الصلبة – تحديد |
| 36  | License | التخلص النهائي من النفايات الخطرة |
| 6  | License | التخلص النهائي من النفايات الخطرة – تجديد |
| 2  | License | التخلص النهائي من النفايات الخطرة – توسعة المتشأة |
| 312 | License | الفرز والتجهيز للنفايات القابلة للتدوير |
| 54  | License | الفرز والتجهيز للنفايات القابلة للتدوير |
| 7  | License | الفرز والتجهيز للنفايات القابلة للتدوير – توسعة منشاة |
| 1  | License | تخزين النفايات |
| 26  | License | تخزين النفايات الخطرة |
| 2  | License | تخزين النفايات الخطرة – تجديد |
| 23  | License | تصدير نفايات خطرة |
| 331 | License | تصدير نفايات غير خطرة |
| 99  | License | تقنيات إدارة النفايات |
| 25  | License | تقنيات إدارة النفايات – تجديد |
| 33  | License | تقنيات معالجة النفايات |
| 262 | License | جمع ونقل النفايات الخطرة |
| 13 | License | جمع ونقل النفايات الخطرة – توسعة متنشأة |
| 583 | License | جمع ونقل النفايات غير الخطرة |

<br/>
<br/>

| 96  | License | جمع ونقل النفايات غير الخطرة – تجديد |
| :-------------------: | :--------------------------: | :---------------------: |
| 23  | License | جمع ونقل النفايات غير الخطرة – توسعة متنشأة |
| 58  | License | معالجة النفايات الخطرة |
| 22  | License | (معالجة النفايات الخطرة (نسخة |
| 26  | Permit | إستيراد نفايات خطرة ( |
| 205 | Permit | إنشاء منشآت إعادة التدوير |
| 52  | Permit | (إنشاء منشآت إعادة التدوير (نسخة |
| 140 | Permit | تصدير نفايات غير خطرة |
